compound_id,compound_uid,compound_name,pubchem,inchikey,smiles
35617,PDBC00485,Ko-143,10322450,,
35626,PDBC01863,Ku-0063794,16736978,,
35639,PDBC00142,L-685458,5479543,,
35691,PDBC00353,LE-135,10410894,,
35965,PDBC00427,LY-2183240,11507802,,
35996,PDBC00066,Lapatinib,208908,,
36020,PDBC01876,Lenvatinib,9823820,,
36023,PDBC01904,Leptomycin B,6917907,,
36059,PDBC01856,Linifanib,11485656,,
36061,PDBC00096,Linsitinib,11640390,,
36086,PDBC01927,Lomeguatrib,3025944,,
36098,PDBC00997,Lovastatin,53232,,
36159,PDBC01875,MGCD-265 analog,24901704,,
36160,PDBC01805,MI-1,,,
36167,PDBC01970,MK-0752,9803433,,
36181,PDBC00540,ML006,2842253,,
36182,PDBC00543,ML031,2113511,,
36183,PDBC00329,ML050,3136844,,
36184,PDBC01807,ML083,650361,,
36186,PDBC00312,ML162,3689413,,
36187,PDBC00523,ML203,44543605,,
36188,PDBC00340,ML210,,,
36189,PDBC01867,ML239,49843203,,
36190,PDBC01964,ML258,53301938,,
36191,PDBC01810,ML311,3384730,,
36192,PDBC01835,ML312,,,
36193,PDBC01893,ML320,,,
36279,PDBC00516,Manumycin,6438330,,
36287,PDBC01858,Masitinib,10074640,,
36338,PDBC02011,Mdivi-1,3825829,,
36385,PDBC00345,Merck60,,,
36409,PDBC01864,Met Kinase Inhibitor,9549297,,
36463,PDBC00008,Methotrexate,126941,,
37819,PDBC00071,Mitomycin,5746,,
37846,PDBC01943,Molibresib,46943432,,
37850,PDBC01979,Momelotinib,25062766,,
37901,PDBC01467,Myricetin,5281672,,
37904,PDBC00328,Myriocin,25791047,,
40483,PDBC01793,N-Hexanoylsphingosine,5702613,,
40624,PDBC00223,N-Phthalyl-L-tryptophan,344265,,
41656,PDBC00498,N9-Isopropyl-olomoucine,6610355,,
41774,PDBC00425,NPC-26,,,
41785,PDBC00434,NSC 74859,252682,,
41931,PDBC00174,NSC23766,409805,,
41979,PDBC00179,NSC30930,81146,,
42130,PDBC00183,NSC48300,241158,,
42889,PDBC00230,NSC632839,5351362,,
48909,PDBC00193,NSC95397,262093,,
48925,PDBC01969,NVP-231,4096211,,
48926,PDBC01960,NVP-ADW742,9825149,,
48928,PDBC01984,NVP-BSK805,46398810,,
48992,PDBC00212,Narciclasine,72376,,
49000,PDBC00011,Navitoclax,24978538,,
49002,PDBC01926,Necrostatin-7,1239801,,
49010,PDBC00259,Nelarabine,3011155,,
49026,PDBC00482,Neopeltolide,23661650,,
49035,PDBC00532,Neratinib,9915743,,
49085,PDBC01077,Niclosamide,4477,,
49101,PDBC00013,Nilotinib,644241,,
49106,PDBC01871,Nintedanib,135423438,,
49174,PDBC00041,Nutlin-3,216345,,
49179,PDBC00113,Nvp-tae 684,16038120,,
49404,PDBC00094,Obatoclax,16681698,,
49433,PDBC00017,Olaparib,23725625,,
49439,PDBC00246,Oligomycin A,5472285,,
49475,PDBC01983,Osi-027,44224160,,
49476,PDBC01874,Osi-930,9868037,,
49490,PDBC01371,Ouabain,439501,,
49498,PDBC00264,Oxaliplatin,24197464,,
49568,PDBC01973,PD318088,10231331,,
49571,PDBC00351,PDMP,114736,,
49589,PDBC02015,PF-184,,,
49596,PDBC01896,PF-543,66577038,,
49597,PDBC01897,PF-573228,11612883,,
49598,PDBC00528,PF-750,25154868,,
49606,PDBC00489,PI-103,9884685,,
49610,PDBC01986,PIK-93,6852167,,
49615,PDBC00529,PL-DI,3035652,,
49618,PDBC00033,PLX4720,24180719,,
49632,PDBC00449,PRIMA-1-Met,52918385,,
49633,PDBC00362,PRL-3 Inhibitor I,11983303,,
49648,PDBC00316,PX-12,219104,,
49655,PDBC00089,Pac-1,6851947,,
49658,PDBC00058,Paclitaxel,36314,,
49690,PDBC00144,Panobinostat,6918837,,
49698,PDBC00210,Parbendazole,26596,,
49724,PDBC00102,Pazopanib,11525740,,
49801,PDBC00294,Pevonedistat,71729979,,
49805,PDBC01883,Pha-793887,46191454,,
49954,PDBC00379,Phloretin,24135,,
50014,PDBC00048,Pictilisib,17755052,,
50059,PDBC00402,Piperlongumine,637858,,
50082,PDBC01814,Platinum,23939,,
50114,PDBC00559,Pluripotin,12003241,,
50193,PDBC00214,Prima-1,322968,,
50203,PDBC01152,Procarbazine,4915,,
50204,PDBC00565,Prochlorperazine,4917,,
50391,PDBC00505,Purmorphamine,5284329,,
50397,PDBC00253,Pyr-41,5335621,,
50559,PDBC00075,QS11,42623900,,
50561,PDBC01812,QW-BI-011,,,
50618,PDBC01884,Quizartinib,24889392,,
50622,PDBC00393,R406 (Free base),11213558,,
50625,PDBC00366,RAD51 inhibitor B02,66545744,,
50705,PDBC00145,Raf265(chir-265),11656518,,
50736,PDBC01872,Regorafenib,11167602,,
50748,PDBC01870,Repligen 136,,,
50794,PDBC01972,Rigosertib,6918736,,
50803,PDBC00233,Rita,374536,,
50852,PDBC01881,Ruxolitinib,25126798,,
50966,PDBC00478,SB-225002,3854666,,
50997,PDBC01794,SB-431542,4521392,,
51000,PDBC01882,SB-525334,9967941,,
51023,PDBC01942,SB-743921,9936388,,
51052,PDBC00403,SCH-529074,12001922,,
51054,PDBC00382,SCH-79797,45073452,,
51074,PDBC00357,SID 26681509,16725315,,
51077,PDBC00548,SJ-172550,1317464,,
51083,PDBC00395,SKI-II,753704,,
51087,PDBC01959,SMER-3,568763,,
51096,PDBC00239,SN-38,104842,,
51099,PDBC01862,SNS-032,3025986,,
51101,PDBC01948,SNX-2112:bortezomib (250:1 mol/mol),,,
51107,PDBC00367,SR-II-138A,,,
51108,PDBC01965,SR1001,44241473,,
51115,PDBC01828,SRT-1720,24180125,,
51121,PDBC01890,STF-31,984333,,
51677,PDBC00115,Saracatinib,10302451,,
51854,PDBC00053,Selumetinib,10127622,,
51855,PDBC01971,Semagacestat,9843750,,
51865,PDBC00512,Sepantronium bromide,11178236,,
51869,PDBC00062,Serdemetan,11609586,,
51881,PDBC01878,Sgx-523,24779724,,
51890,PDBC00251,Sildenafil,5212,,
51892,PDBC01976,Silmitasertib,24748573,,
51900,PDBC00213,Simvastatin,54454,,
51910,PDBC00109,Sirolimus,5284616,,
51912,PDBC01797,Sitagliptin,4369359,,
51919,PDBC00497,Snx-2112,24772860,,
52085,PDBC01879,Sonidegib,24775005,,
52087,PDBC00110,Sorafenib,216239,,
52295,PDBC00627,Staurosporine,44259,,
52301,PDBC01866,StemRegenin 1,46199207,,
52389,PDBC00118,Sunitinib,5329102,,
52435,PDBC02002,TG-100-115,10427712,,
52444,PDBC00139,TGX221,9907093,,
52464,PDBC01815,TPCA-1,9903786,,
52470,PDBC00063,TW 37,11455910,,
52483,PDBC00358,Tacrolimus,445643,,
52504,PDBC00265,Tamoxifen,25010734,,
52509,PDBC02001,Tandutinib,3038522,,
52510,PDBC00026,Tanespimycin,6505803,,
52545,PDBC00391,Telomerase Inhibitor IX,10385095,,
52551,PDBC00221,Temozolomide,5394,,
52553,PDBC00016,Temsirolimus,6918289,,
52556,PDBC00201,Teniposide,452548,,
53019,PDBC01894,Tigecycline,54686904,,
53049,PDBC00106,Tipifarnib,159324,,
53056,PDBC00458,Tivozanib,9911830,,
53070,PDBC00147,Topotecan,11972519,,
53082,PDBC00546,Tosedostat,15547703,,
53097,PDBC00009,Tretinoin,444795,,
53113,PDBC01818,Triazolothiadiazine,,,
53200,PDBC00171,Trifluoperazine,5566,,
53291,PDBC00208,Triptolide,107985,,
53361,PDBC00336,Tubastatin A,49850262,,
53371,PDBC01993,Turofexorate isopropyl,10026128,,
53401,PDBC00508,UNC0321,46901937,,
53403,PDBC00536,UNC0638,46224516,,
53441,PDBC00128,Unii-40E3azg1MX,10390396,,
53523,PDBC00416,VER-155008,25195348,,
53540,PDBC01906,VU0155056,,,
53559,PDBC00148,Vandetanib,3081361,,
53570,PDBC00018,Veliparib dihydrochloride,11960529,,
53571,PDBC00262,Vemurafenib,42611257,,
53607,PDBC01802,Vincristine,5978,,
53630,PDBC01913,Vorapaxar,10077130,,
53632,PDBC00012,Vorinostat,5311,,
53674,PDBC01873,WZ8040,44607531,,
53707,PDBC01963,XL765,49867926,,
53754,PDBC00319,YK 4-279,,,
53755,PDBC02014,YL54,,,
53846,PDBC01859,ZSTK474,11647372,,
53888,PDBC00218,Zebularine,16760709,,
55383,PDBC01956,alisertib:navitoclax (2:1 mol/mol),,,
55446,PDBC01799,apicidin,6918328,,
55508,PDBC02003,carboplatin:UNC0638 (2:1 mol/mol),,,
55509,PDBC01935,carboplatin:etoposide (40:17 mol/mol),,,
55513,PDBC01898,ceranib-2,122388991,,
55627,PDBC01801,compound 1B,,,
55635,PDBC01996,crizotinib:PLX-4032 (2:1 mol/mol),,,
55639,PDBC00334,cyanoquinoline 11,,,
55649,PDBC02005,decitabine:carboplatin (1:1 mol/mol),,,
55650,PDBC01924,decitabine:navitoclax (2:1 mol/mol),,,
55676,PDBC01929,docetaxel:tanespimycin (2:1 mol/mol),,,
55677,PDBC01954,doxorubicin:navitoclax (2:1 mol/mol),,,
55847,PDBC00258,nakiterpiosin,54613361,,
55849,PDBC01934,navitoclax:MST-312 (1:1 mol/mol),,,
55850,PDBC01931,navitoclax:PLX-4032 (1:1 mol/mol),,,
55851,PDBC01917,navitoclax:birinapant (1:1 mol/mol),,,
55852,PDBC01937,navitoclax:gemcitabine (1:1 mol/mol),,,
55854,PDBC01944,navitoclax:pluripotin (1:1 mol/mol),,,
55855,PDBC01957,navitoclax:sorafenib (1:1 mol/mol),,,
55859,PDBC00313,necrostatin-1,2828334,,
55930,PDBC00486,pifithrin-alpha,57458948,,
55931,PDBC00556,pifithrin-mu,327653,,
55967,PDBC01951,salermide:PLX-4032 (12:1 mol/mol),,,
55974,PDBC01922,selumetinib:BRD-A02303741 (4:1 mol/mol),,,
55975,PDBC01919,selumetinib:GDC-0941 (4:1 mol/mol),,,
55976,PDBC02004,selumetinib:JQ-1 (4:1 mol/mol),,,
55977,PDBC01930,selumetinib:MK-2206 (8:1 mol/mol),,,
55978,PDBC01910,selumetinib:PLX-4032 (8:1 mol/mol),,,
55979,PDBC01955,selumetinib:UNC0638 (4:1 mol/mol),,,
55980,PDBC01947,selumetinib:decitabine (4:1 mol/mol),,,
55981,PDBC01946,selumetinib:navitoclax (8:1 mol/mol),,,
55982,PDBC01932,selumetinib:piperlongumine (8:1 mol/mol),,,
55983,PDBC01920,selumetinib:tretinoin (2:1 mol/mol),,,
55984,PDBC01921,selumetinib:vorinostat (8:1 mol/mol),,,
55986,PDBC01909,serdemetan:SCH-529074 (1:1 mol/mol),,,
55989,PDBC01911,sirolimus:bortezomib (250:1 mol/mol),,,
55994,PDBC01891,spautin-1,51037431,,
56014,PDBC01928,tanespimycin:gemcitabine (1:1 mol/mol),,,
56075,PDBC01925,tretinoin:carboplatin (2:1 mol/mol),,,
56100,PDBC01908,vorinostat:carboplatin (1:1 mol/mol),,,
56101,PDBC01962,vorinostat:navitoclax (4:1 mol/mol),,,
109,PDBC01792,(-)-Epigallocatechin gallate,65064,,
113,PDBC00136,(-)-Parthenolide,5420804,,
27321,PDBC02028,A-804598,53325874,,
27660,PDBC02041,AT-406,25022340,,
28023,PDBC02034,Alpelisib,56649450,,
28034,PDBC02061,Alvocidib,5287969,,
28450,PDBC02071,Avicin D,44566777,,
28452,PDBC00364,Avrainvillamide,11719255,,
28513,PDBC02050,Azd-1480,16659841,,
28582,PDBC02068,BCL-LZH-4,,,
28634,PDBC01950,BRD-A02303741:navitoclax (2:1 mol/mol),,,
28635,PDBC02051,BRD-A05715709,,,
28639,PDBC02063,BRD-A86708339,,,
28653,PDBC01820,BRD-K11533227,,,
28663,PDBC02009,BRD-K26531177,,,
28682,PDBC02060,BRD-K42260513,,,
28684,PDBC01804,BRD-K45681478,,,
28686,PDBC02049,BRD-K48477130,,,
28689,PDBC01868,BRD-K51490254,,,
28690,PDBC02057,BRD-K51831558,,,
28694,PDBC02044,BRD-K55473186,,,
28696,PDBC01811,BRD-K61166597,,,
28704,PDBC01798,BRD-K71935468,,,
28714,PDBC02047,BRD-K90370028,,,
28717,PDBC01795,BRD-K94991378,,,
28723,PDBC02052,BRD-K99006945,,,
28725,PDBC02046,BRD-M00053801,,,
28793,PDBC00248,Belinostat,6918638,,
28796,PDBC02025,Bemcentinib,25127414///46215462,,
29868,PDBC02062,CBB-1007,,,
30424,PDBC02048,Cediranib,9933475,,
30453,PDBC00198,Cerulenin,5282054,,
31089,PDBC00196,Cucurbitacin I,5281321,,
31373,PDBC02065,Dabrafenib,44462760,,
31378,PDBC00047,Dactolisib,11977753,,
32282,PDBC02055,Dinaciclib,46926350,,
32375,PDBC00007,Docetaxel,148124,,
32548,PDBC02031,ETP-46464,72199292,,
32665,PDBC00135,Entinostat,4261,,
34384,PDBC00154,GSK1059615,23582824,,
34414,PDBC02035,GSK2636771,56949517,,
34822,PDBC02038,HBX-41108,,,
34823,PDBC01902,HC-067047,2742550,,
35127,PDBC02026,Ibrutinib,24821094,,
35191,PDBC00298,Importazole,2949965,,
35196,PDBC02029,Incyclinide,54678924,,
35406,PDBC02058,Istradefylline,5311037,,
35473,PDBC01949,JQ-1:MK-0752 (1:1 mol/mol),,,
35474,PDBC01907,JQ-1:UNC0638 (2:1 mol/mol),,,
35475,PDBC01945,JQ-1:carboplatin (1:1 mol/mol),,,
35493,PDBC02036,JW-74,,,
35544,PDBC02022,KH-CB19,44237094,,
35563,PDBC02023,KPT185,53495165,,
35711,PDBC02021,LRRK2-IN-1,46843906,,
36161,PDBC02059,MI-2,54765302,,
36171,PDBC00045,MK-2206,46930998,,
36195,PDBC02043,ML334 diastereomer,,,
36197,PDBC02056,MLN2480,25161177,,
36285,PDBC02032,Marinopyrrole A,24797083,,
37762,PDBC02033,Methylstat,,,
41906,PDBC00172,NSC19630,227681,,
49003,PDBC02037,Necrosulfonamide,1566236,,
49450,PDBC02235,Omacetaxine mepesuccinate,,,
49455,PDBC02067,Onalespib,11955716,,
49562,PDBC02017,PD 153035,4705,,
49578,PDBC02070,PF 4800567 Hydrochloride,71751553,,
49581,PDBC02064,PF-03758309,25227462,,
49674,PDBC02039,Palmostatin B,45100481,,
49685,PDBC00439,Pandacostat,44543714,,
50663,PDBC02054,RO4929097,49867930,,
51622,PDBC02066,SZ4TA2,11657048,,
51915,PDBC02069,Skepinone-L,45279963,,
52089,PDBC02027,Sotrastaurin,10296883,,
52481,PDBC02018,Tacedinaline,2746,,
52907,PDBC00610,Thalidomide,5426,,
53055,PDBC02053,Tivantinib,11494412,,
53088,PDBC00150,Trametinib,11707110,,
53404,PDBC01952,UNC0638:navitoclax (1:1 mol/mol),,,
53514,PDBC02045,VAF-347,,,
53552,PDBC00375,Valdecoxib,119607,,
53572,PDBC02030,Venetoclax,49846579,,
53672,PDBC02042,WZ4002,44607530,,
53782,PDBC00137,Z-Leu-leu-leu-al,462382,,
55684,PDBC01985,erlotinib:PLX-4032 (2:1 mol/mol),,,
55853,PDBC01958,navitoclax:piperlongumine (1:1 mol/mol),,,
55879,PDBC00231,o6-Benzylguanine,4578,,
55932,PDBC01936,piperlongumine:MST-312 (1:1 mol/mol),,,
55934,PDBC02024,pitstop2,,,
55966,PDBC00320,salermide,53393948,,
56013,PDBC01933,tanespimycin:bortezomib (250:1 mol/mol),,,
56076,PDBC01923,tretinoin:navitoclax (4:1 mol/mol),,,
28755,PDBC02074,Bafilomycin A1,6436223,,
35338,PDBC02020,Isonicotinohydroxamic acid,72967,,
27729,PDBC00256,Abiraterone,132971,,
28651,PDBC02019,BRD-K09344309,,,
35490,PDBC02040,JW-55,2946601,,
28642,PDBC02073,BRD-K01737880,,,
28672,PDBC02078,BRD-K30748066,,,
28674,PDBC02072,BRD-K33514849,,,
28735,PDBC02077,BRD9876:MK-1775 (4:1 mol/mol),,,
34377,PDBC02076,GSK-J4,71729975,,
51110,PDBC02075,SR8278,53393127,,
53085,PDBC00111,Tozasertib,5494449,,
