pubchem_id,GDSC_id,drug_name,TARGET,TARGET_PATHWAY
44631912,1632,Ribociclib,"CDK4, CDK6",Cell cycle
1018,1635,Picolinici-acid,Inflammatory related,Other
118693659,1706,AZD5153,BRD4,Chromatin other
46843056,1778,GSK2110183B,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
24821094,1799,Ibrutinib,BTK,"Other, kinases"
23649597,1802,Zoledronate, ,Other
8269,1803,Acetalax,,Unclassified
2578,1807,Carmustine,,
60700,1808,Topotecan,TOP1,DNA replication
452548,1809,Teniposide,,DNA replication
4212,1810,Mitoxantrone,TOP2,DNA replication
457193,1811,Dactinomycin,RNA polymerase,Other
657237,1813,Fludarabine,Antimetabolite,DNA replication
3011155,1814,Nelarabine,,DNA replication
135398738,1815,Dacarbazine,CP11A,Other
5352062,1817,Romidepsin,"HDAC1, HDAC2, HDAC3, HDAC8",Chromatin histone acetylation
5978,1818,Vincristine,,
234820,1825,Podophyllotoxin bromide,,Unclassified
243725,1827,Dihydrorotenone,,Unclassified
353472,1830,Gallibiscoquinazole,,Unclassified
87371,1831,L-Oxonoreleagnine,,Unclassified
442205,1835,Elephantin,,Unclassified
6438436,1838,Sinularin,,Unclassified
397888,1843,LMP744,TOP1,DNA replication
643462,1845,Schweinfurthin A,,Unclassified
46236925,1849,Sabutoclax,"BCL2,  BCL-XL,  BFL1, MCL1",Apoptosis regulation
11655119,1852,LY2109761,TGFB1,Other
35397514,1853,OF-1,"BRPF1B, BRPF2",Chromatin histone acetylation
2802462,1854,MN-64,"TNKS1, TNKS2",WNT signaling
73555129,1855,KRAS (G12C) Inhibitor-12,KRAS (G12C),ERK MAPK signaling
66577015,1873,Buparlisib,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling
11719003,1908,Ulixertinib,"ERK1, ERK2",ERK MAPK signaling
11228183,1910,ABT737,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",Apoptosis regulation
46843057,1912,Afuresertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
56645356,1913,AGI-5198,IDH1 (R132H),Metabolism
78209992,1915,AZD3759,EGFR,EGFR signaling
25227436,1916,AZD5363,"AKT1, AKT2, AKT3, ROCK2","Other, kinases"
71496458,1919,Osimertinib,EGFR,EGFR signaling
