pubchem_id,drug_name,mean_pred_logIC50,median_pred_logIC50,std_pred_logIC50,mean_true_logIC50,n_test_cells,n_pairs
387447,Bortezomib,-4.495851437250773,-4.527551651000977,0.21861298221133196,-4.828836091359457,15,15
148124,Docetaxel,-4.455836566289266,-4.451725006103516,0.2982876178626133,-4.5690892219543455,15,15
6710780,Vinblastine,-3.785516280394334,-3.9148385524749756,0.7141527410920137,-3.26053117788755,13,13
11178236,Sepantronium bromide,-3.7618170738220216,-4.236055374145508,1.0882657775302296,-4.137969656785329,15,15
5311497,Vinorelbine,-3.1301700274149575,-3.0890252590179443,0.6892710607133852,-2.635193122426669,15,15
6914657,Daporinad,-3.0791656017303466,-2.9310526847839355,0.801352958586583,-4.454450607299805,5,5
36314,Paclitaxel,-3.026608610153198,-3.05674409866333,0.6016914612298013,-2.81729463438193,15,15
46926350,Dinaciclib,-2.6285207952771867,-2.745464563369751,0.4616773865667431,-2.366326834474291,14,14
24360,Camptothecin,-1.6513978779315948,-1.7398097515106201,0.740314533806658,-2.753294037282467,15,15
11977753,Dactolisib,-1.227690827846527,-1.2659146785736084,0.5273940892532839,-1.2956378599007925,15,15
104842,SN-38,-1.0603773253304618,-0.9666023701429367,2.6259733793928235,-2.3883808170046126,14,14
462382,MG-132,-1.0551191727320353,-1.0590070486068726,0.1821873296462545,-1.3324265956878663,15,15
300471,Elesclomol,-0.9737681150436401,-0.9737681150436401,,0.018695000559091568,1,1
11364421,BI-2536,-0.35490477581818897,-0.28939568996429443,1.1107857225295867,-0.9941571881373723,15,15
41867,Epirubicin,-0.26458049615224205,-0.18532145023345947,0.6973713458862782,-0.858149583141009,15,15
6505803,Tanespimycin,-0.07544320722421011,0.07896476984024048,0.525156991347908,-0.532853335638841,15,15
11707110,Trametinib,0.024367342392603557,0.356934517621994,1.3944492836344793,0.16854641040166218,15,15
25262965,AZD8055,0.22353059511918288,0.23743140697479248,0.3723633256765241,-0.03162345662713051,13,13
46236925,Sabutoclax,0.3167347418410437,0.4016999304294586,0.34519509523266323,0.11048070234911782,14,14
60750,Gemcitabine,0.38914650479952495,0.48879364132881165,1.8303241525723817,-1.5663441677888235,15,15
3062316,Dasatinib,0.4265088488658269,0.11419500410556793,1.3157648184356008,0.9353116095066071,15,15
11152667,AZD7762,0.5448925336201985,0.5570679903030396,0.46056815613225977,0.560863662014405,15,15
126565,Lestaurtinib,0.5520447681347529,0.5882025957107544,0.41304571919005445,0.9185392754773299,15,15
126941,Methotrexate,0.5987302382787069,0.5596089363098145,0.3318938837708818,0.44704846739768983,15,15
70676303,GNE-317,0.719817864894867,0.776186466217041,0.3871598486760478,0.8678208637982607,15,15
24856436,MK-1775,0.9936727186044058,1.0295355319976807,0.4875616215222565,1.0192970782518387,15,15
11404337,Obatoclax Mesylate,1.0289649558918816,1.102561354637146,0.29217906609995964,0.4940623625048569,14,14
17755052,Pictilisib,1.058283523718516,1.1463159322738647,0.5602185671440127,1.5824834088484445,15,15
42642645,Foretinib,1.0739083906014761,1.0474060773849487,0.4345679941028155,1.349733720223109,15,15
10385095,Telomerase Inhibitor IX,1.1722801168759664,1.2457642555236816,0.3630761189788624,0.7848173438649003,15,15
9826528,PD0325901,1.2677578727404277,1.593973159790039,1.4040703248490003,1.5653531471888225,15,15
6918289,Temsirolimus,1.2871719817320506,1.4388872385025024,0.39810387955309995,1.1312392671902975,15,15
10184653,Afatinib,1.372836810350418,1.4654651880264282,0.8143914008682163,2.2775570546587307,15,15
51001932,Taselisib,1.4393039564291636,1.5134334564208984,0.8446711810017147,2.3550331676999727,15,15
71496458,Osimertinib,1.4792639543612798,1.6852997541427612,0.7675312721945385,2.1253932535648348,15,15
11455910,TW 37,1.4800685048103333,1.502639651298523,0.28203331042234125,1.5442272573709488,4,4
16720766,Pevonedistat,1.4977714796861012,1.5865275859832764,0.8044001405348169,0.6846018522977829,15,15
5311,Vorinostat,1.9178275028864542,1.9480375051498413,0.31621027411869906,2.118244531750679,15,15
24978538,Navitoclax,2.032518752415975,2.140317916870117,0.46407543960422837,2.7114131848017373,15,15
44182295,Refametinib,2.1058769643306734,2.3392138481140137,1.2272662970827604,2.11046081384023,15,15
24771867,Alisertib,2.106623343626658,2.309931993484497,0.8123016492794354,2.2012534137815236,15,15
49847690,AZD5582,2.125070946557181,2.185064673423767,0.5232792154300611,2.542303455727441,14,14
56962337,SGC0946,2.130593220392863,2.1060752868652344,0.16611822197246362,2.107860310872396,15,15
9933475,Cediranib,2.1775802612304687,2.245748996734619,0.4397675574150955,2.2961203436056774,15,15
10384072,Wee1 Inhibitor,2.2019490083058675,2.2788403034210205,0.6164239127004442,2.2877837141354878,15,15
54761306,AZD6738,2.21609423160553,2.2704262733459473,0.5941861728916361,2.436265007654826,15,15
11228183,ABT737,2.2375988245010374,2.344259738922119,0.4495173387811631,2.73134974638621,15,15
25099184,AZ960,2.2504373022488187,2.1913819313049316,0.7466373935571933,2.5461808996541158,14,14
46843057,Afuresertib,2.2507351716359456,2.3465182781219482,0.5837081407958874,3.1997500896453857,15,15
6253,Cytarabine,2.2779304810932706,2.4439843893051147,0.9345018569820597,2.252836993762425,14,14
46907787,JQ1,2.2890852212905886,2.4729034900665283,0.7430402126604629,2.6692575114468733,15,15
4261,Entinostat,2.3787226932389394,2.38016414642334,0.4901296753560096,2.671363047191075,14,14
78209992,AZD3759,2.3975625038146973,2.2410354614257812,0.6113412521002789,2.6866036732991536,15,15
44632017,YK-4-279,2.4279752016067504,2.480715751647949,0.7082786333016474,2.45882066488266,15,15
24866313,SCH772984,2.4812084873517355,2.849081516265869,1.2290666943405162,2.629503933588664,15,15
51042438,Uprosertib,2.556775518826076,2.750119924545288,0.6687770364042291,3.431756862572261,14,14
9936746,OTX015,2.5887652124677385,2.7504297494888306,0.8142499574803643,2.692628003656864,14,14
46930998,MK-2206,2.629061754544576,2.796168804168701,0.6555992924191977,3.6307788451512653,15,15
176870,Erlotinib,2.6903963724772137,2.517441749572754,0.7183938285000775,2.8997217734654743,15,15
216239,Sorafenib,2.703299713134766,2.6331729888916016,0.3401624746595488,2.9440287510553995,15,15
11634725,VX-11e,2.7051390488942464,2.9781925678253174,0.8720793588534068,3.067240818341573,15,15
11626560,Crizotinib,2.7115004936854046,2.69356632232666,0.6099453915122212,3.2896293481191,15,15
68289010,Savolitinib,2.7262762705485026,2.671788215637207,0.2996672280464016,2.7014087279637655,15,15
5328940,Bosutinib,2.7446237325668337,2.8009777069091797,0.48035861365238175,2.9981361279884973,15,15
9914412,ZM447439,2.7851847251256308,2.7417845726013184,0.5975335680628996,2.773288091023763,15,15
52913813,AZD8186,2.798649470011393,2.8272104263305664,0.5781522197982353,3.7082878828048704,15,15
9825149,NVP-ADW742,2.832979933420817,2.8902950286865234,0.557108466516,3.414527336756388,15,15
637858,Piperlongumine,2.8452913761138916,2.8452913761138916,,3.409943103790283,1,1
