pubchem_id,drug_name,mean_pred_logIC50,median_pred_logIC50,std_pred_logIC50,mean_true_logIC50,n_test_cells,n_pairs
387447,Bortezomib,-4.91913011597424,-4.80562686920166,0.5362305571701461,-4.9025018942065355,41,41
148124,Docetaxel,-4.03596826394399,-4.190185070037842,0.857887155529947,-3.834312683060056,42,42
11178236,Sepantronium bromide,-3.3535619945060917,-3.462059497833252,1.2429026894162356,-3.834262061409834,41,41
6710780,Vinblastine,-2.81863318907248,-2.8717472553253174,0.9286683749730933,-2.2994594739095584,37,37
104842,SN-38,-2.7778723180294036,-2.9895846843719482,1.8970473526607239,0.25949313789606093,40,40
6914657,Daporinad,-2.5088755630311512,-2.3350510597229004,0.9508033486284541,-1.7477098731767564,21,21
36314,Paclitaxel,-2.291293350661673,-2.232077121734619,0.79961030501449,-2.4289220862272307,41,41
46926350,Dinaciclib,-2.2865070169036454,-2.405031204223633,0.504793989943212,-2.3011653880160807,37,37
5311497,Vinorelbine,-2.284676961055616,-2.286867380142212,0.856396217126679,-2.150629413564031,41,41
24360,Camptothecin,-1.7203962584821189,-1.6523209810256958,0.7908754127959757,-0.7301325062062682,41,41
462382,MG-132,-1.009791992959522,-1.0316956639289856,0.17029765112548229,-1.0329275203957444,42,42
11977753,Dactolisib,-0.9787316126067463,-1.0898187160491943,0.5734509641596833,-1.2243040545684536,41,41
300471,Elesclomol,-0.5399025082588196,-0.5115688592195511,0.5593070156588252,-1.7027792185544968,4,4
11364421,BI-2536,-0.45011259011320165,-0.3896961510181427,0.9417661274959537,0.8292713797575718,37,37
60750,Gemcitabine,-0.19743427997682153,-0.14844995737075806,1.3598869694984619,2.341963694953337,41,41
41867,Epirubicin,-0.1915968343978975,-0.17641550302505493,0.6274127975950132,0.17659329350401715,41,41
6505803,Tanespimycin,0.13827243501820216,0.004179060459136963,0.5750267955124605,-0.01078884021901503,41,41
46236925,Sabutoclax,0.27356096457790685,0.25753530859947205,0.47098818838304457,-0.03836094643417243,37,37
25262965,AZD8055,0.45252271816134454,0.41904686391353607,0.5675019525827458,-0.049226954206824304,40,40
11404337,Obatoclax Mesylate,0.8085676663451724,0.8147846460342407,0.4078947064665451,0.9216745901438925,36,36
126565,Lestaurtinib,0.8548314505960883,0.8724935054779053,0.5375929486218004,0.807493249658586,41,41
11152667,AZD7762,0.8964466537748065,0.9166827201843262,0.5129520310709045,0.9858713449599842,42,42
11707110,Trametinib,0.9158875338914918,1.136406421661377,1.3280466428282907,1.5248595452867448,41,41
70676303,GNE-317,0.9460260720923543,0.9584335088729858,0.5057102159102095,0.5358955719741061,40,40
24856436,MK-1775,0.9658672313501195,0.9510036706924438,0.46531668598233644,1.7455780067276665,41,41
10385095,Telomerase Inhibitor IX,1.0124374515399701,1.0387989282608032,0.41055290794447397,0.9291043599567762,41,41
126941,Methotrexate,1.027154527805947,1.1409717798233032,0.4774518299593758,0.9154591667088302,37,37
17755052,Pictilisib,1.201704323646568,1.2543985843658447,0.5401842494624459,1.025252024953564,42,42
16720766,Pevonedistat,1.2713908011593469,1.4085495471954346,0.7384486188687597,1.9969565766613657,41,41
42642645,Foretinib,1.2980334281921386,1.2967100143432617,0.3977261701307971,2.0298983633518217,40,40
6918289,Temsirolimus,1.4507325612008573,1.502875804901123,0.5147730996091954,1.1049212738871574,40,40
11455910,TW 37,1.766742187387803,1.7241880893707275,0.37198728362170924,1.9238829341004877,17,17
5311,Vorinostat,1.794128886290959,1.8354721665382385,0.32593411983590653,1.6143669876314344,42,42
10184653,Afatinib,1.8152490958571434,1.9286561012268066,0.5393095190729198,1.3039349842816592,40,40
71496458,Osimertinib,1.8362209302623098,1.930497407913208,0.4118010440851875,1.2973630990742184,41,41
24978538,Navitoclax,1.8642450306741964,2.0855553150177,0.8179066180654716,1.8363490030169487,42,42
51001932,Taselisib,1.9111891859551755,1.948416829109192,0.6933106667703178,1.4302971612934658,41,41
3062316,Dasatinib,1.9854752815714696,2.304609775543213,1.2667483759238611,2.4660878199629668,41,41
11228183,ABT737,2.0351650413216613,2.2656219005584717,0.7620015137560399,2.328948168311177,41,41
9826528,PD0325901,2.06289782829401,2.280111312866211,1.1691700446167903,2.6771833983863274,41,41
56962337,SGC0946,2.1216423541307448,2.094629168510437,0.2316239637249225,2.1218254908919336,40,40
10384072,Wee1 Inhibitor,2.179412891225117,2.1926536560058594,0.5322244173494133,2.2450379493033013,41,41
4261,Entinostat,2.2773434460163116,2.2685662508010864,0.4760012015974296,2.087778455764055,40,40
49847690,AZD5582,2.280242211288876,2.2148205041885376,0.4114570152044333,1.643337056868606,36,36
25099184,AZ960,2.3241996378511995,2.3741376399993896,0.5661173977545311,2.8783889284005038,37,37
24771867,Alisertib,2.335557052722344,2.542004108428955,0.7461585254286728,3.3169985016187034,39,39
6253,Cytarabine,2.373040204112594,2.5321390628814697,0.8550664012192987,3.0850139638862095,37,37
54761306,AZD6738,2.3761742144096187,2.402892827987671,0.48711117450830477,2.483241881175739,41,41
9933475,Cediranib,2.3843734089921163,2.3792848587036133,0.25993890283350557,2.7541848115804717,41,41
44632017,YK-4-279,2.39029367086364,2.46264386177063,0.6950216848403095,3.1676082262178746,41,41
78209992,AZD3759,2.4901116330449176,2.5147030353546143,0.2990257253664596,2.7948072603562983,41,41
49846579,Venotoclax,2.5011418360035593,2.5894625186920166,0.5708042360945011,3.1811429505668034,41,41
637858,Piperlongumine,2.5049551725387573,2.5122950077056885,0.23268040045904845,2.806984007358551,4,4
54685215,IOX2,2.5077303051948547,2.4650042057037354,0.23082002677690425,2.4782832264900208,4,4
216239,Sorafenib,2.577020863207375,2.5230469703674316,0.34307829814095814,2.4274440146074063,41,41
5494449,Tozasertib,2.5794221995732722,2.6315841674804688,0.959017980382861,3.859274102613712,39,39
46907787,JQ1,2.579469581929649,2.5523033142089844,0.47460164633526963,2.840210002369997,41,41
16095342,GSK269962A,2.5934729392711935,2.5734786987304688,0.519098127396333,3.1749985401447,39,39
44182295,Refametinib,2.6488788175146754,2.7698535919189453,0.9501273558562142,3.134923229857189,41,41
46843057,Afuresertib,2.6557646524615404,2.634080410003662,0.5094101769344587,1.9312280974373586,41,41
68289010,Savolitinib,2.6780619621276855,2.6727755069732666,0.30752731840378544,2.8971809962900674,41,41
9914412,ZM447439,2.7277087816377965,2.7570438385009766,0.5529628462689211,3.3267294924433637,41,41
