seed,n_drugs,mean_delta,median_delta,win_drugs,loss_drugs,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,paired_t_p
2020,112,0.018614229033187785,-0.008639008995633454,50,62,-0.004995139550363914,0.04467291546917528,0.5839185206427794,0.07323910733445584
2021,112,0.013367172828206838,-0.006060250503380937,52,60,-0.010953798003471921,0.03993806732302303,0.6481422391374357,0.15393580014142602
