seed,bandrp_gate,bcgdrp,delta_bcg_minus_bandrp
2020,0.255924985841334,0.2745392148745219,0.01861422903318788
2021,0.269009532399134,0.28237670522734093,0.01336717282820693
2022,0.23150931139269318,0.2593790770423243,0.027869765649631145
2023,0.24000424510461352,0.2626470784603281,0.02264283335571457
2024,0.2487917116152271,0.2424476207707981,-0.006344090844428996
