tissue,drug_name,n_cells,slope,sd_ratio
URINARY_TRACT,5-Fluorouracil,15,0.6043751301165984,0.5607257621120105
URINARY_TRACT,ABT737,15,-0.5378365285241642,0.4313217684093803
URINARY_TRACT,AGI-5198,15,0.14771861615231116,0.5299350187146106
URINARY_TRACT,AGI-6780,14,0.6377140965636368,0.4943873555305342
URINARY_TRACT,AMG-319,15,-0.35596890361268796,0.5129805041606608
URINARY_TRACT,AZ960,14,0.49934038657311525,0.538964834226755
URINARY_TRACT,AZD3759,15,0.6551575846341006,0.786639247445222
URINARY_TRACT,AZD4547,15,0.5722568750776637,0.2273880489634963
URINARY_TRACT,AZD5582,14,0.2758994367956846,0.23852219946206993
URINARY_TRACT,AZD6738,15,0.7282468999028399,0.4973434225495384
URINARY_TRACT,AZD7762,15,0.2411059859973656,0.5953862660794459
URINARY_TRACT,AZD8055,13,0.10281843938176592,0.4137939880435481
URINARY_TRACT,AZD8186,15,0.3770426716640279,0.5474704749873908
URINARY_TRACT,Afatinib,15,0.6689950361703665,0.6966235014421348
URINARY_TRACT,Afuresertib,15,1.337210313080546,0.561580018457607
URINARY_TRACT,Alisertib,15,-0.20868456266076266,0.5637094533005161
URINARY_TRACT,Alpelisib,15,1.1262180351904458,0.5378081658567536
URINARY_TRACT,Avagacestat,15,0.7205045142802747,0.4228357324243472
URINARY_TRACT,Axitinib,14,0.7202563676042723,0.33947043476927313
URINARY_TRACT,BI-2536,15,0.11206623797208164,0.4618538870441867
URINARY_TRACT,BIBR-1532,15,0.6621285360579465,0.5554220273613799
URINARY_TRACT,BMS-345541,14,0.37451510871250443,0.4697292775389364
URINARY_TRACT,Bleomycin (50 uM),14,0.7682345938997502,0.3911861165651594
URINARY_TRACT,Bortezomib,15,-0.1853326803532333,0.3728537417756708
URINARY_TRACT,Bosutinib,15,1.0266645756486816,0.4036676944034058
URINARY_TRACT,CCT007093,15,0.5906878607719774,0.5153100656518369
URINARY_TRACT,CZC24832,14,-0.024637183368487036,0.6932649564116672
URINARY_TRACT,Camptothecin,15,0.540738911507569,0.48118149384645403
URINARY_TRACT,Cediranib,15,0.35866713450136384,0.370766041554143
URINARY_TRACT,Cisplatin,14,-0.16882493378476124,0.4188952464539741
URINARY_TRACT,Crizotinib,15,0.21990360169131265,0.6276808233807579
URINARY_TRACT,Cyclophosphamide,15,0.17997212466058424,0.7835627411191824
URINARY_TRACT,Cytarabine,14,0.16478964914236638,0.5281762389144026
URINARY_TRACT,Dabrafenib,15,1.0822615510510603,0.39238309971015944
URINARY_TRACT,Dactolisib,15,-0.2715940540188531,0.43387453755215644
URINARY_TRACT,Dasatinib,15,0.2985646366348414,0.7869467291199581
URINARY_TRACT,Dinaciclib,14,1.1930337920270648,0.3177936734494871
URINARY_TRACT,Docetaxel,15,0.6818612115573769,0.21111397474826982
URINARY_TRACT,Doramapimod,15,0.16127895413617235,0.7706217945793329
URINARY_TRACT,EHT-1864,15,0.38294391161014485,0.4244748267460972
URINARY_TRACT,EPZ004777,15,0.0820242951285797,0.5717316358201299
URINARY_TRACT,EPZ5676,15,-0.05121669827965209,0.627531134364003
URINARY_TRACT,Entinostat,14,0.4183375613700788,0.46232311809353244
URINARY_TRACT,Entospletinib,14,0.3200407385928659,0.6970238320496327
URINARY_TRACT,Epirubicin,15,0.6074254955477215,0.5083643899097576
URINARY_TRACT,Erlotinib,15,0.5414020289547947,0.6361451256105142
URINARY_TRACT,Foretinib,15,0.03007304803470068,0.4323759554101374
URINARY_TRACT,Fulvestrant,15,0.14960863195013502,0.5028070679280149
URINARY_TRACT,GDC0810,15,0.01841527308635802,0.553501871040478
URINARY_TRACT,GNE-317,15,0.767687573435977,0.3105850924836761
URINARY_TRACT,GSK1904529A,15,0.40204893204092984,0.5874587066501238
URINARY_TRACT,GSK2578215A,15,0.6621529130854672,0.7715520224554208
URINARY_TRACT,GSK2606414,14,1.0538929575367117,0.4391974061186587
URINARY_TRACT,GSK2830371,14,0.5536261437622536,0.5265290481081725
URINARY_TRACT,GSK343,14,-0.2064059760487554,0.5842490889829677
URINARY_TRACT,GSK591,14,0.4788661607334758,0.4431606191430904
URINARY_TRACT,GW441756,15,0.427759370692138,0.402399037211037
URINARY_TRACT,Gefitinib,15,0.4176629456543348,0.8625938108098806
URINARY_TRACT,Gemcitabine,15,0.28708929751412754,0.6689007664238864
URINARY_TRACT,I-BET-762,14,0.6569702463469539,0.5844132374938571
URINARY_TRACT,I-BRD9,15,0.21964493981602676,0.3901264787440694
URINARY_TRACT,IWP-2,14,0.48803984621472873,0.5370139201526595
URINARY_TRACT,Ibrutinib,14,0.655736859484417,0.8153731870182909
URINARY_TRACT,Ipatasertib,15,0.9792145237968153,0.6260006393582063
URINARY_TRACT,Irinotecan,15,0.38658607212285306,0.4838775815738519
URINARY_TRACT,JNK Inhibitor VIII,15,0.20581101327269768,0.6455289986238887
URINARY_TRACT,JQ1,15,0.9032208423911231,0.36511386691527387
URINARY_TRACT,KRAS (G12C) Inhibitor-12,14,1.7553120399712514,0.32608591369278195
URINARY_TRACT,KU-55933,15,-0.2709933991867639,0.43292609041179597
URINARY_TRACT,LCL161,14,0.609801406948177,0.5282860354493172
URINARY_TRACT,LGK974,15,0.6324193905804643,0.6200951924994915
URINARY_TRACT,LJI308,15,0.6034561576086988,0.42321487262846125
URINARY_TRACT,LY2109761,14,0.270501596976331,0.47358624229719115
URINARY_TRACT,Lapatinib,15,0.7249026450117875,0.7029834073916456
URINARY_TRACT,Leflunomide,14,0.6351614943187713,0.4432376535127383
URINARY_TRACT,Lenalidomide,15,0.6419664992560908,0.6653124206577489
URINARY_TRACT,Lestaurtinib,15,-0.41804611312498285,0.2516687436229683
URINARY_TRACT,Linsitinib,15,0.606212453098775,0.5918359781272116
URINARY_TRACT,MG-132,15,-1.028364595350294,0.4586676947037827
URINARY_TRACT,MIRA-1,15,0.15353921695388606,0.413632048100624
URINARY_TRACT,MK-1775,15,0.0970888726268005,0.38819601202425263
URINARY_TRACT,MK-2206,15,0.8248911662184243,0.6799494570835083
URINARY_TRACT,MK-8776,15,-0.028201903503903707,0.8323467380940585
URINARY_TRACT,ML323,14,0.7969156754761358,0.6444996457982703
URINARY_TRACT,MN-64,14,0.441878893346066,0.49247927775295464
URINARY_TRACT,Methotrexate,15,1.4776886554987356,0.14663724639302814
URINARY_TRACT,Motesanib,15,0.9022255264419891,0.6675937953559092
URINARY_TRACT,NU7441,15,0.05263271802239023,0.5220057644318477
URINARY_TRACT,NVP-ADW742,15,1.0782688406702052,0.4736180046946282
URINARY_TRACT,Navitoclax,15,-0.16852204230368759,0.5189067443960839
URINARY_TRACT,Nilotinib,15,-0.14953371138633753,0.5682392865318314
URINARY_TRACT,Niraparib,14,0.2548834769325567,0.37654172285535953
URINARY_TRACT,Nutlin-3a (-),15,1.1923253877538225,0.4728790505994814
URINARY_TRACT,OF-1,14,0.1420560420816887,0.532275236280767
URINARY_TRACT,OTX015,14,0.9573624736086113,0.5072190386174099
URINARY_TRACT,Obatoclax Mesylate,14,-0.021975060119017936,0.2918966088004489
URINARY_TRACT,Olaparib,15,0.3178235579268501,0.35871940848332173
URINARY_TRACT,Osimertinib,15,0.5209333231531682,0.9231125387409322
URINARY_TRACT,Oxaliplatin,15,0.6864972488982011,0.4359161177005875
URINARY_TRACT,P22077,15,1.0772596162369499,0.30245274849299714
URINARY_TRACT,PCI-34051,14,0.23774596228955605,0.6377967830652377
URINARY_TRACT,PD0325901,15,0.881205923576876,0.7645497048078272
URINARY_TRACT,PD173074,15,0.6460895741243361,0.22334975909902932
URINARY_TRACT,PFI-1,15,1.0151351807517814,0.417731656783565
URINARY_TRACT,PFI3,14,0.4064468645542221,0.7312692511564002
URINARY_TRACT,PLX-4720,15,0.38220352440398797,0.49207005994475705
URINARY_TRACT,PRIMA-1MET,14,-0.31000375528655405,0.42601689179720004
URINARY_TRACT,PRT062607,14,0.8770300197640917,0.5845245008520012
URINARY_TRACT,Paclitaxel,15,1.1975914681317188,0.3319863302221377
URINARY_TRACT,Palbociclib,15,0.68891577515856,0.5296126208393209
URINARY_TRACT,Pevonedistat,15,0.4178497159107993,0.44383040189914486
URINARY_TRACT,Picolinici-acid,14,0.28271442140268854,0.7146941477314459
URINARY_TRACT,Pictilisib,15,0.6692912933410952,0.6529121910226678
URINARY_TRACT,Pyridostatin,15,0.6342262225615436,0.29278212068201526
URINARY_TRACT,Refametinib,15,0.8659827943095658,0.7185348618851952
URINARY_TRACT,Ribociclib,14,1.0297069157764005,0.44113626266019956
URINARY_TRACT,Rucaparib,15,1.1075897342409537,0.4133741999512994
URINARY_TRACT,Ruxolitinib,14,0.5305469847894423,0.45235689645101274
URINARY_TRACT,SB216763,15,0.7280409261354484,0.6175722432444842
URINARY_TRACT,SCH772984,15,1.0331476353544173,0.6174190185210993
URINARY_TRACT,SGC0946,15,0.797858241967414,0.2751811500696226
URINARY_TRACT,SN-38,14,0.11693982853167598,0.6326303082856195
URINARY_TRACT,Sabutoclax,14,1.0530799070750934,0.36040689924963737
URINARY_TRACT,Sapitinib,15,0.43576825466141816,0.9848602083758591
URINARY_TRACT,Savolitinib,15,0.20136987532678322,0.4378897835500565
URINARY_TRACT,Selumetinib,15,0.722798726205598,0.8035785088031686
