,pc1,pc2,split,modality
ACH-000434,-2.796061008434364,-1.7845160492367338,train,methylation
ACH-000775,-6.83730639048927,-0.6312874962353521,train,methylation
ACH-000303,-1.2818341608384376,-1.8870555188257996,train,methylation
ACH-000383,10.888794051264888,2.455108323385087,train,methylation
ACH-000786,38.90226488986836,-6.806188117296666,train,methylation
ACH-000805,-6.401664591107122,-1.5537726300115744,train,methylation
ACH-000452,-2.5695820718351543,2.1329199346639363,train,methylation
ACH-000968,-5.9010234600548666,-1.828048475870806,train,methylation
ACH-000504,-5.834566782265753,-2.220478913922158,train,methylation
ACH-000932,6.253949198302682,-7.459532379994016,train,methylation
ACH-000295,3.4526564110675833,-7.159565110559415,train,methylation
ACH-000780,-4.990878924562944,-3.045223668734761,train,methylation
ACH-000144,-5.568240732604917,0.7525637868459166,train,methylation
ACH-000486,-8.210995392444998,-2.382503490749757,train,methylation
ACH-000351,-3.3107297097588684,-0.4065709157912184,train,methylation
ACH-000375,-2.66597112551302,3.463979388213574,train,methylation
ACH-000579,-5.868255856079537,1.1846024354067568,train,methylation
ACH-000826,5.58598539848092,10.004165717138628,train,methylation
ACH-000489,-2.606015553510617,-3.5605603716522145,train,methylation
ACH-000381,-4.253757337588782,-0.37676268253865225,train,methylation
ACH-000169,-1.9273298579209184,2.359637316746322,train,methylation
ACH-000226,18.093289213266562,1.0599523773959263,train,methylation
ACH-000551,-8.135934525318667,-0.28123332077106883,train,methylation
ACH-000304,-5.711806102508484,-0.11085005497703318,train,methylation
ACH-000189,-5.324090359763294,0.026068117562309694,train,methylation
ACH-000322,-4.483032407079593,-1.4147172185247952,train,methylation
ACH-000506,-9.064044167417608,-0.13603838417786945,train,methylation
ACH-000825,-2.718142119666021,-6.0015022506405105,train,methylation
ACH-000546,-2.9304018184283422,-3.821520941492809,train,methylation
ACH-000759,-2.6095111313961596,-2.1749901107013043,train,methylation
ACH-000174,-3.671177477328031,-2.448218480703832,train,methylation
ACH-000218,14.665061212295809,-14.091168575591587,train,methylation
ACH-000348,-9.78360103035598,0.021553441321710533,train,methylation
ACH-000346,-4.9696932659983535,-4.423341484376429,train,methylation
ACH-000394,-8.567324705614077,0.029505265278484544,train,methylation
ACH-000867,-5.162320022455208,-2.6708912534410776,train,methylation
ACH-000155,-2.895830964495364,-3.411467940477517,train,methylation
ACH-000663,-0.5383884106226453,-5.1254748831888435,train,methylation
ACH-000532,-4.553793416372401,-5.342196870343733,train,methylation
ACH-000973,9.124936077866558,9.242504552858895,train,methylation
ACH-000245,16.657582116726957,-13.881325551718815,train,methylation
ACH-000611,7.676203629849995,-6.527479910620414,train,methylation
ACH-000647,2.507206464474722,-3.700104326976846,train,methylation
ACH-000555,10.461097406816483,5.404515309375153,train,methylation
ACH-000755,-4.366694116508892,-1.767124864708243,train,methylation
ACH-001307,-6.0157187976132915,-0.21257145096517135,train,methylation
ACH-000778,0.8261440116646038,1.0103209654503609,train,methylation
