stratum,n_drugs,ceiling,bcgdrp,pct_of_ceiling
RTK signaling,7,0.485596814986784,0.23949209360985924,49.319123647130446
Other pathways,39,0.4789082067183979,0.3241549415364323,67.68623652487086
Apoptosis regulation,5,0.4738967586486895,0.33263459798293377,70.19136381760386
PI3K/MTOR signaling,7,0.4403372230387926,0.22523127351037672,51.14972383121343
Genome integrity,5,0.3194863194034259,0.22822945939125208,71.43637944104242
