tissue,n_pairs,slope_overall,r_overall,slope_drug_centred,r_drug_centred,slope_centred_ci_low,slope_centred_ci_high,sd_ratio,rescale_factor,rmse_before,rmse_after
URINARY_TRACT,2285,1.009912660878039,0.8753972323634182,0.5249864953480758,0.27014048505889965,0.39880843223487306,0.6530331859306149,0.514566541144627,,,
BREAST,6363,0.9058156842396261,0.7912558942711995,0.36068682053365614,0.13913877192184887,0.2636747273125571,0.4568094613777467,0.3857606211282839,,,
URINARY_TRACT [match the observed spread],2285,,0.8271615074126195,,,,,,1.9433832556923563,1.2599328251673936,1.495741760451607
URINARY_TRACT [MSE-optimal rescaling],2285,,0.8832154767202793,,,,,,0.5249864953480758,1.2599328251673936,1.226925050560531
BREAST [match the observed spread],6363,,0.705739935500749,,,,,,2.592281184832114,1.5708031084782257,1.969167710396674
BREAST [MSE-optimal rescaling],6363,,0.8007833409889762,,,,,,0.36068682053365614,1.5708031084782257,1.5301424292409052
