tissue,drug_name,n_cells,scc_bcgdrp,scc_drugmean,drugmean_reason
URINARY_TRACT,LJI308,15,0.2678571428571428,,"constant within a drug, rank undefined"
URINARY_TRACT,LY2109761,14,0.1164835164835165,,"constant within a drug, rank undefined"
URINARY_TRACT,Lapatinib,15,0.5071428571428571,,"constant within a drug, rank undefined"
URINARY_TRACT,Leflunomide,14,0.35824175824175825,,"constant within a drug, rank undefined"
URINARY_TRACT,Lenalidomide,15,0.2607142857142857,,"constant within a drug, rank undefined"
URINARY_TRACT,Lestaurtinib,15,0.010714285714285713,,"constant within a drug, rank undefined"
URINARY_TRACT,Linsitinib,15,0.33571428571428563,,"constant within a drug, rank undefined"
URINARY_TRACT,MG-132,15,-0.3107142857142856,,"constant within a drug, rank undefined"
URINARY_TRACT,MIRA-1,15,0.2178571428571428,,"constant within a drug, rank undefined"
URINARY_TRACT,MK-1775,15,0.06428571428571428,,"constant within a drug, rank undefined"
URINARY_TRACT,MK-2206,15,0.6142857142857142,,"constant within a drug, rank undefined"
URINARY_TRACT,MK-8776,15,-0.039285714285714285,,"constant within a drug, rank undefined"
URINARY_TRACT,ML323,14,0.5780219780219781,,"constant within a drug, rank undefined"
URINARY_TRACT,MN-64,14,0.2351648351648352,,"constant within a drug, rank undefined"
URINARY_TRACT,Methotrexate,15,0.35,,"constant within a drug, rank undefined"
URINARY_TRACT,Motesanib,15,0.6,,"constant within a drug, rank undefined"
URINARY_TRACT,NU7441,15,-0.125,,"constant within a drug, rank undefined"
URINARY_TRACT,NVP-ADW742,15,0.4964285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,Navitoclax,15,-0.15714285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,Nilotinib,15,-0.13214285714285715,,"constant within a drug, rank undefined"
URINARY_TRACT,Niraparib,14,0.2879120879120879,,"constant within a drug, rank undefined"
URINARY_TRACT,Nutlin-3a (-),15,0.3214285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,OF-1,14,0.02417582417582418,,"constant within a drug, rank undefined"
URINARY_TRACT,OTX015,14,0.2923076923076923,,"constant within a drug, rank undefined"
URINARY_TRACT,Obatoclax Mesylate,14,0.15604395604395604,,"constant within a drug, rank undefined"
URINARY_TRACT,Olaparib,15,0.125,,"constant within a drug, rank undefined"
URINARY_TRACT,Osimertinib,15,0.5214285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,Oxaliplatin,15,0.3071428571428571,,"constant within a drug, rank undefined"
URINARY_TRACT,P22077,15,0.3107142857142856,,"constant within a drug, rank undefined"
URINARY_TRACT,PCI-34051,14,0.22637362637362637,,"constant within a drug, rank undefined"
URINARY_TRACT,PD0325901,15,0.5678571428571427,,"constant within a drug, rank undefined"
URINARY_TRACT,PD173074,15,0.28928571428571426,,"constant within a drug, rank undefined"
URINARY_TRACT,PFI-1,15,0.36428571428571427,,"constant within a drug, rank undefined"
URINARY_TRACT,PFI3,14,0.2879120879120879,,"constant within a drug, rank undefined"
URINARY_TRACT,PLX-4720,15,0.16785714285714282,,"constant within a drug, rank undefined"
URINARY_TRACT,PRIMA-1MET,14,-0.15164835164835166,,"constant within a drug, rank undefined"
URINARY_TRACT,PRT062607,14,0.45494505494505494,,"constant within a drug, rank undefined"
URINARY_TRACT,Paclitaxel,15,0.475,,"constant within a drug, rank undefined"
URINARY_TRACT,Palbociclib,15,0.3571428571428571,,"constant within a drug, rank undefined"
URINARY_TRACT,Pevonedistat,15,0.15357142857142855,,"constant within a drug, rank undefined"
