tissue,predictor,n_cells,n,RMSE,MAE,R2,PCC,SCC
URINARY_TRACT,BCGDRP,15,2285,1.2599328251673936,0.9201337643079276,0.7627531565441434,0.8753972323634184,0.8328858388919539
URINARY_TRACT,NaivePredictor,15,2285,2.594492272831374,2.013947724909598,-0.006028825054195108,,
URINARY_TRACT,NaiveDrugMeanPredictor,15,2285,1.243810197228702,0.9268037415971995,0.7687861276479165,0.8804356885906852,0.8313098029845812
BREAST,BCGDRP,42,6363,1.5708031084782257,1.1631705426083743,0.6168539616121054,0.7912558942711998,0.7355146396153514
BREAST,NaivePredictor,42,6363,2.5608793626857267,2.0105952776069556,-0.01835470907457526,,
BREAST,NaiveDrugMeanPredictor,42,6363,1.6161983012013073,1.188282829704702,0.5943886237124503,0.7886735157535918,0.73053150647475
