source,cell_line,drug,ic50_uM,r2,hill,bottom,top,ic50_ci_low_uM,ic50_ci_high_uM,ic50_within_tested_range,conc_min_uM,conc_max_uM,n_concentrations,n_wells,ic50_nM
cell line,MDA-MB-231,Dinaciclib,0.054687634930210664,0.9902553803025768,5.23246913990096,0.27499513531499287,0.9739375710713002,0.037563083485309026,0.05819464468892856,True,0.0074,3.7824,10,30,54.68763493021066
cell line,5637,Dactolisib,0.00597665498620939,0.9938529121503776,0.7240131537006297,0.037972278838730326,0.9914042325026763,0.0048526632279893185,0.007135742314138514,True,0.0001,5.0,10,30,5.97665498620939
cell line,5637,Daporinad,0.030726450240189593,0.9927837726414177,0.8337049188592303,0.09491061079141541,0.939303801145384,0.024385862051837136,0.03895886983628559,True,7.7e-05,30.0,9,27,30.726450240189592
cell line,5637,Dinaciclib,0.14932678539265445,0.998252640811838,4.346330444593878,0.05927431052375247,0.9902011474994514,0.12074731193375832,0.15492915150537742,True,0.02,10.24,10,30,149.32678539265444
patient-derived primary,patient-derived bladder cancer cells,Dinaciclib,0.13492731767084945,0.9886647143740991,2.4709003055163095,0.1303559387104969,0.8790946569758596,0.10729122482435047,0.17126867724115077,True,0.04,10.24,9,27,134.92731767084945
patient-derived primary,patient-derived bladder cancer cells,Dactolisib,0.0037801758811574298,0.9857255002897022,0.6026142441197946,0.1306833180942617,1.0402628880393696,0.0022098970025032976,0.006126506786137619,True,0.0001,1.0,9,27,3.78017588115743
patient-derived primary,patient-derived bladder cancer cells,Daporinad,0.0003844930908053737,0.9992271280767824,3.6343458527632775,0.006601522035916868,0.9358307990820389,0.00030317976509226536,0.000663442639537109,True,7.7e-05,30.0,9,27,0.3844930908053737
