,pc1,pc2,split,modality
ACH-000786,-25.83847205444029,-5.472496647431266,train,pathway
ACH-000805,3.6783709971821614,11.323383174812701,train,pathway
ACH-000452,15.020660456145974,18.906673787470588,train,pathway
ACH-000968,18.19243691703883,3.9589766442643124,train,pathway
ACH-000504,23.96194765725451,17.48840033265763,train,pathway
ACH-000932,-7.729746678690854,12.808779179048537,train,pathway
ACH-000295,-22.889964015360714,-2.2096992765836316,train,pathway
ACH-000780,-18.73608593567857,19.530972795569863,train,pathway
ACH-000144,2.08330010339496,13.870443977479683,train,pathway
ACH-000486,10.089357937138717,-11.287743499852166,train,pathway
ACH-000351,13.018236839489852,2.6873746686755706,train,pathway
ACH-000375,-4.465834411032783,1.2896350788504127,train,pathway
ACH-000579,0.5202192130114834,5.387072771302707,train,pathway
ACH-000826,12.777968959107564,-0.7917204556430413,train,pathway
ACH-000489,2.9331160572810657,-27.611842163336952,train,pathway
ACH-000381,3.1800271833797584,-11.714006187125397,train,pathway
ACH-000169,-3.621288967026686,19.042196142844013,train,pathway
ACH-000226,-11.639239316267897,-8.178525300472451,train,pathway
ACH-000551,-17.564573176642295,-2.990425858740375,train,pathway
ACH-000304,18.02571534570343,14.588738309034602,train,pathway
ACH-000189,21.458555037177685,-5.003471435152822,train,pathway
ACH-000322,14.279863492202088,16.83895497940574,train,pathway
ACH-000506,-8.522167011403935,18.258941378294246,train,pathway
ACH-000825,21.696578325613473,-10.873476050268042,train,pathway
ACH-000546,9.523337951901276,-16.404670395562874,train,pathway
ACH-000759,15.05172959170327,-0.2538245039699717,train,pathway
ACH-000174,-3.0621231082306384,7.475124256946751,train,pathway
ACH-000218,-19.876584842862005,-6.7940997500521645,train,pathway
ACH-000348,14.00536852487354,6.891249921494532,train,pathway
ACH-000346,-13.788049710103353,-12.91610942378708,train,pathway
ACH-000394,-17.780160254110356,10.45902056961189,train,pathway
ACH-000867,2.9191556958963605,-7.553383680430396,train,pathway
ACH-000155,8.442541493031834,-5.267604065019393,train,pathway
ACH-000663,18.912602948071225,-13.911665587231518,train,pathway
ACH-000532,0.9536852384085243,-28.32398883277477,train,pathway
ACH-000973,5.960787869036541,26.148657628322187,train,pathway
ACH-000245,-27.536722333971273,1.0541571704144925,train,pathway
ACH-000611,-27.086421347389123,-6.825584446258663,train,pathway
ACH-000647,9.49001849828647,4.757424884559507,train,pathway
ACH-000555,8.93528042996178,-21.99327991607905,train,pathway
ACH-000755,1.0712404059949696,-20.35054922879122,train,pathway
ACH-001307,17.579794834364854,19.14686259250582,train,pathway
ACH-000778,14.49460043576635,7.710944146447956,train,pathway
ACH-000558,19.41450120498964,15.474726601805763,train,pathway
ACH-000852,4.239683284846737,-3.30804967011493,train,pathway
ACH-000639,-17.350277760098187,9.03164785337312,train,pathway
ACH-000811,18.633686857301193,22.665986600741768,train,pathway
ACH-000595,9.557761634319574,15.346058699875776,train,pathway
ACH-000090,6.834075133047637,-18.76775295126526,train,pathway
ACH-000292,-12.460995845366584,-4.810154378695961,train,pathway
ACH-000496,14.750245898788894,4.263785594447697,train,pathway
ACH-000985,-13.587147750943126,-14.922246953294158,train,pathway
ACH-000129,-12.278269893504257,14.446296552422341,train,pathway
ACH-000228,20.89816392278946,-11.156511384571871,train,pathway
ACH-000568,-2.7608269355054063,-19.38695414924387,train,pathway
ACH-000574,4.544104495511874,-2.1560639597347295,train,pathway
ACH-000521,5.403072720555081,-8.273025417834265,train,pathway
ACH-000770,-20.13529733913533,4.508985354257585,train,pathway
ACH-000318,5.728176895357174,-7.845119341800966,train,pathway
ACH-000528,5.876725098743165,8.647941680045879,train,pathway
ACH-000806,-9.869618253470524,0.725046644230934,train,pathway
