epoch,train_mse,val_mse,test_mse
0,2.8749308586120605,2.426671266555786,2.5285227298736572
1,2.457808256149292,2.5697824954986572,2.799898624420166
2,2.4111578464508057,2.417243480682373,2.528913736343384
3,2.368049144744873,2.4350428581237793,2.490967273712158
4,2.326037883758545,2.2699549198150635,2.303795099258423
5,2.2870984077453613,2.2934892177581787,2.330857753753662
6,2.342813014984131,2.2789461612701416,2.2995450496673584
7,2.1864445209503174,2.1798152923583984,2.2084460258483887
8,2.142277717590332,2.2242977619171143,2.2071969509124756
9,2.107186794281006,2.1964340209960938,2.193272352218628
10,2.0619876384735107,2.2916855812072754,2.239853858947754
11,2.1145756244659424,2.2792346477508545,2.312892436981201
12,2.0810885429382324,2.2169642448425293,2.2109780311584473
13,2.0340240001678467,2.344608783721924,2.295182228088379
14,2.0298426151275635,2.2661240100860596,2.252406120300293
15,2.0284152030944824,2.3501667976379395,2.318281412124634
16,2.0148160457611084,2.1245346069335938,2.133758068084717
17,1.9970248937606812,2.2033188343048096,2.2509889602661133
18,2.020226240158081,2.344130039215088,2.3101203441619873
19,2.0111169815063477,2.2729835510253906,2.2812750339508057
20,2.048574924468994,2.2106878757476807,2.1887083053588867
21,2.001035213470459,2.15364408493042,2.1192901134490967
22,1.984951376914978,2.1761460304260254,2.126067638397217
23,2.0202839374542236,2.2250194549560547,2.1948750019073486
24,1.9639023542404175,2.3189799785614014,2.284461498260498
25,1.9975029230117798,2.2221076488494873,2.1960294246673584
26,1.9954880475997925,2.332247018814087,2.316188335418701
27,1.984562873840332,2.529367446899414,2.57782244682312
28,1.934841513633728,2.2535061836242676,2.2517893314361572
29,1.9650121927261353,2.4214816093444824,2.414292335510254
30,2.03432297706604,2.278441905975342,2.2541189193725586
31,2.013662576675415,2.2068309783935547,2.2347323894500732
32,1.9770692586898804,2.2639405727386475,2.239360809326172
33,2.005103588104248,2.2816693782806396,2.2344398498535156
34,1.9976052045822144,2.1354358196258545,2.1202073097229004
35,1.9908121824264526,2.340691566467285,2.3476619720458984
36,2.0661017894744873,2.2654569149017334,2.244241952896118
37,1.9763140678405762,2.350706100463867,2.3206756114959717
38,1.92887544631958,2.320962905883789,2.311138391494751
39,1.924643635749817,2.400179624557495,2.348270893096924
40,1.9024581909179688,2.3447775840759277,2.3199636936187744
41,1.8858762979507446,2.382607936859131,2.3800487518310547
42,1.892019510269165,2.290501117706299,2.2678966522216797
43,1.8889522552490234,2.3570504188537598,2.327831745147705
44,1.8562016487121582,2.180330753326416,2.1794002056121826
45,1.8859673738479614,2.131060838699341,2.148113965988159
46,1.8750866651535034,2.177518129348755,2.1948790550231934
47,1.8821073770523071,2.1461615562438965,2.128011703491211
48,1.8471542596817017,2.1092145442962646,2.063281536102295
49,1.8395259380340576,2.1311521530151367,2.0940067768096924
50,1.8742942810058594,2.2163875102996826,2.174838066101074
51,1.8653769493103027,2.1147873401641846,2.0853404998779297
52,1.8212575912475586,2.0631840229034424,1.998828411102295
53,1.8649568557739258,2.173475980758667,2.0647871494293213
54,1.9230576753616333,2.396233081817627,2.286419153213501
55,1.967144250869751,2.3960468769073486,2.3609604835510254
56,1.8935450315475464,2.2561936378479004,2.192155361175537
57,1.868532657623291,2.1815080642700195,2.1126224994659424
58,1.93059241771698,2.3377833366394043,2.278947114944458
59,1.8624414205551147,2.235275983810425,2.134921073913574
60,1.85492742061615,2.355290174484253,2.4305269718170166
61,2.0040268898010254,2.3001797199249268,2.3049159049987793
62,1.8632006645202637,2.1899399757385254,2.094595193862915
63,1.8077396154403687,2.1191859245300293,2.019314765930176
64,1.7855778932571411,2.194181442260742,2.109912633895874
65,1.7840317487716675,2.256361722946167,2.1597306728363037
66,1.8413275480270386,2.3934834003448486,2.343661069869995
67,1.8549267053604126,2.458686113357544,2.348508596420288
68,1.8173166513442993,2.251258134841919,2.239213228225708
69,1.8393609523773193,2.29390287399292,2.296121835708618
70,1.9270148277282715,2.4179859161376953,2.4114787578582764
71,1.9073612689971924,2.368753433227539,2.2569215297698975
72,1.886264443397522,2.3538992404937744,2.27835750579834
73,1.8072434663772583,2.216719150543213,2.1230177879333496
74,1.791671633720398,2.3051064014434814,2.213606357574463
75,1.7643314599990845,2.1633896827697754,2.124582529067993
76,1.8109183311462402,2.3324878215789795,2.214048385620117
77,1.8071036338806152,2.277744770050049,2.176800489425659
78,1.8129955530166626,2.344087839126587,2.255452871322632
79,1.7984344959259033,2.2413079738616943,2.092233896255493
