epoch,train_mse,val_mse,test_mse
0,2.3943982124328613,2.491340398788452,2.4304404258728027
1,1.8449580669403076,3.2073519229888916,2.8231914043426514
2,1.7288109064102173,2.411504030227661,2.338114023208618
3,1.6672210693359375,2.3448739051818848,2.1890413761138916
4,1.6223711967468262,2.194556713104248,2.0679314136505127
5,1.576491117477417,2.2359752655029297,2.1367671489715576
6,1.5288060903549194,2.222688913345337,2.0641136169433594
7,1.5102267265319824,2.4581542015075684,2.4530861377716064
8,1.501294732093811,2.3203306198120117,2.166728973388672
9,1.4625333547592163,2.319437265396118,2.2523698806762695
10,1.4473201036453247,2.1910688877105713,2.1281046867370605
11,1.455845594406128,2.092048168182373,2.0332274436950684
12,1.4147623777389526,2.2992589473724365,2.1139094829559326
13,1.4148434400558472,2.1726505756378174,2.059988260269165
14,1.3762279748916626,2.242626905441284,1.9927810430526733
15,1.361763596534729,2.2882139682769775,2.097280502319336
16,1.3491389751434326,2.0429022312164307,1.9127780199050903
17,1.348984956741333,2.063347339630127,1.9848816394805908
18,1.3167757987976074,2.155299663543701,1.969688892364502
19,1.3113914728164673,2.01092791557312,1.9273749589920044
20,1.3097697496414185,2.1701979637145996,1.9664422273635864
21,1.2901053428649902,2.239701509475708,2.034808874130249
22,1.310907244682312,2.338914394378662,2.107740640640259
23,1.2863861322402954,2.1555473804473877,1.9616115093231201
24,1.253598928451538,2.189577579498291,2.0568597316741943
25,1.2645894289016724,2.23828387260437,2.0822315216064453
26,1.270315170288086,2.215468168258667,2.0648865699768066
27,1.2492060661315918,2.351290464401245,2.211578607559204
28,1.2371962070465088,2.0643298625946045,1.982869029045105
29,1.2377839088439941,2.1130588054656982,1.9331587553024292
30,1.245274305343628,2.0264573097229004,1.8759273290634155
31,1.2288142442703247,2.084005355834961,1.9821676015853882
32,1.2370877265930176,2.1358985900878906,1.9647384881973267
33,1.215667963027954,2.0495009422302246,1.8913912773132324
34,1.2104456424713135,2.090313196182251,1.9182946681976318
35,1.187034010887146,2.324014186859131,2.0606915950775146
36,1.1941591501235962,2.2686283588409424,2.0546936988830566
37,1.1847325563430786,2.1661322116851807,1.9643899202346802
38,1.190427303314209,2.1690049171447754,1.9496219158172607
39,1.1834161281585693,2.108518123626709,1.985658049583435
40,1.1706777811050415,2.188356399536133,1.988032341003418
41,1.176876425743103,2.1332736015319824,1.9140456914901733
42,1.1744675636291504,2.253607749938965,1.946711540222168
43,1.1656444072723389,2.068944215774536,1.8804516792297363
44,1.1507409811019897,2.111618995666504,1.9482365846633911
45,1.1443498134613037,2.2841575145721436,2.003462314605713
46,1.1415953636169434,2.272239923477173,2.0331356525421143
47,1.129955530166626,2.179105520248413,1.9193321466445923
48,1.1495386362075806,2.3309667110443115,2.1370787620544434
49,1.158280849456787,2.1937599182128906,1.9395955801010132
50,1.1249735355377197,2.232834577560425,1.9630091190338135
51,1.1369657516479492,2.251154899597168,1.905903697013855
52,1.1026991605758667,2.0801568031311035,1.9194563627243042
53,1.1152877807617188,2.20601487159729,1.98079252243042
54,1.123509168624878,2.157353401184082,1.9536120891571045
55,1.1111934185028076,2.171968460083008,1.942210078239441
56,1.1033477783203125,2.1391780376434326,1.9557198286056519
57,1.0856631994247437,2.2091712951660156,1.9154343605041504
58,1.1065737009048462,2.29793381690979,2.052306890487671
59,1.0684385299682617,2.1950387954711914,1.8813236951828003
60,1.089751958847046,2.201441764831543,2.0009889602661133
61,1.0835349559783936,2.2444517612457275,2.011564254760742
62,1.0803380012512207,2.0908162593841553,1.9104218482971191
63,1.0743619203567505,2.142347574234009,1.914069414138794
64,1.0685328245162964,2.187089681625366,1.9731417894363403
65,1.0794676542282104,2.195443868637085,1.9768569469451904
66,1.0516034364700317,2.0712473392486572,1.9095789194107056
67,1.0590542554855347,2.160703182220459,1.9823582172393799
68,1.0962615013122559,2.227663516998291,1.9792851209640503
69,1.0621452331542969,2.3091275691986084,2.1391773223876953
70,1.0419352054595947,2.256807327270508,2.0127201080322266
71,1.0407094955444336,2.248260736465454,2.0296566486358643
72,1.045663595199585,2.2094669342041016,1.9941222667694092
73,1.0365623235702515,2.198863983154297,2.018512487411499
74,1.0399311780929565,2.137226104736328,1.912663459777832
75,1.0580098628997803,2.172020196914673,2.065160036087036
76,1.0587304830551147,2.408876895904541,2.250945568084717
77,1.0364331007003784,2.1128883361816406,1.925310492515564
78,1.0320279598236084,2.1122920513153076,1.9973633289337158
79,1.0145480632781982,2.2829103469848633,2.109607458114624
