Method,RMSE,PCC,SCC,R2,split
tCNNs,1.7133,0.7875,0.7359,0.6158,blind_cell
DeepCDR,1.4729,0.8521,0.8146,0.7159,blind_cell
DeepTTA,1.4218,0.858,0.8235,0.7369,blind_cell
GADRP,1.4239,0.8586,0.8232,0.6435,blind_cell
BANDRP,1.3771,0.8676,0.8358,0.7523,blind_cell
BCGDRP,1.3644,0.8706,0.8381,0.7568,blind_cell
