predictor,n_train_cells,n_val_cells,n_test_cells,n,RMSE,MAE,R2,PCC,SCC
NaivePredictor,428,54,54,8404,2.769415296376892,2.1307601624102035,-0.001869987501591508,,
NaiveDrugMeanPredictor,428,54,54,8404,1.6821271291522815,1.2792423675712836,0.6303822458479009,0.7955980044492064,0.7420793334031612
