tissue,drug_name,n_cells,scc_bcgdrp
BREAST,Telomerase Inhibitor IX,41,0.15679442508710806
BREAST,Temozolomide,41,0.006968641114982579
BREAST,Temsirolimus,40,-0.05103189493433397
BREAST,Tozasertib,39,-0.01700404858299595
BREAST,Trametinib,41,0.5421602787456448
BREAST,UMI-77,37,-0.15813181602655282
BREAST,Uprosertib,40,0.3416510318949344
BREAST,VE-822,37,-0.2892366050260787
BREAST,VE821,41,-0.08919860627177703
BREAST,VX-11e,41,0.24895470383275264
BREAST,Veliparib,41,-0.020034843205574915
BREAST,Venotoclax,41,-0.09581881533101047
BREAST,Vinblastine,37,0.24063537221431955
BREAST,Vinorelbine,41,0.3860627177700349
BREAST,Vismodegib,41,0.006271777003484322
BREAST,Vorinostat,42,0.2501418037436189
BREAST,WEHI-539,40,-0.3741088180112571
BREAST,WIKI4,41,-0.05313588850174217
BREAST,WZ4003,37,-0.044570886676149835
BREAST,Wee1 Inhibitor,41,-0.03449477351916377
BREAST,Wnt-C59,37,0.1505452821242295
BREAST,YK-4-279,41,0.13414634146341464
BREAST,ZM447439,41,-0.010627177700348435
