setting,quantity,n_pairs,n_cells,n_drugs,total_ss,drug_pct,cell_pct,interaction_pct
Full GDSC2 matrix,observed response,81467,536,169,595189.7790470419,67.36133893834511,11.896929775379606,20.54336996809246
URINARY_TRACT hold-out,observed response,2285,15,169,15289.051484745096,79.4657960253642,5.732051093472378,15.052008090760657
URINARY_TRACT hold-out,BCGDRP prediction,2285,15,169,11487.439785666684,92.76367183221514,3.0631958899416594,4.508728431534271
BREAST hold-out,observed response,6363,42,169,40977.08756933279,67.8095903325137,9.320127474146586,22.49464491311368
BREAST hold-out,BCGDRP prediction,6363,42,169,31267.656467346605,93.72219177942965,2.56191056158447,3.9867222848697486
