tissue,n_pairs,slope_overall,r_overall,slope_drug_centred,r_drug_centred,slope_centred_ci_low,slope_centred_ci_high,sd_ratio,rescale_factor,rmse_before,rmse_after
URINARY_TRACT,2285,1.0099126608780387,0.8753972323634182,0.5249864953480757,0.2701404850588996,0.39880843223487333,0.6530331859306144,0.5145665411446279,,,
BREAST,6363,0.9058156842396267,0.7912558942712001,0.36068682053365625,0.1391387719218489,0.2636747273125572,0.4568094613777464,0.38576062112828335,,,
URINARY_TRACT [match the observed spread],2285,,0.8271615074126198,,,,,,1.943383255692353,1.2599328251673936,1.4957417604516057
URINARY_TRACT [MSE-optimal rescaling],2285,,0.8832154767202794,,,,,,0.5249864953480757,1.2599328251673936,1.226925050560531
BREAST [match the observed spread],6363,,0.7057399355007488,,,,,,2.5922811848321174,1.5708031084782257,1.9691677103966756
BREAST [MSE-optimal rescaling],6363,,0.8007833409889761,,,,,,0.36068682053365625,1.5708031084782257,1.5301424292409052
