Method,RMSE,PCC,SCC,R2
w/o BAN,1.4232,0.8579,0.8194,0.7354
w/o Exp,1.5362,0.8342,0.7902,0.6917
w/o Meth,1.4170,0.8616,0.8306,0.7377
w/o Morgan,1.4122,0.8620,0.8261,0.7395
Morgan+Exp,1.4265,0.8582,0.8239,0.7342
Morgan+Meth,1.5326,0.8361,0.7919,0.6932
Morgan only,1.6867,0.7951,0.7419,0.6284
