source,cell_line,drug,ic50_uM,r2,hill,bottom,top,ic50_ci_low_uM,ic50_ci_high_uM,ic50_within_tested_range,conc_min_uM,conc_max_uM,n_concentrations,n_wells,ic50_nM
cell line,MDA-MB-231,Dinaciclib,0.05468763490221957,0.9902553803025776,5.232469190961489,0.27499513542189175,0.9739375709509211,0.0375630794321685,0.05819464469316493,True,0.0074,3.7824,10,30,54.68763490221957
cell line,5637,Dactolisib,0.005976654978835012,0.9938529121503766,0.7240131554175521,0.037972279276285055,0.991404232136241,0.004852663204693252,0.007135742318275292,True,0.0001,5.0,10,30,5.976654978835012
cell line,5637,Daporinad,0.03072644986563246,0.992783772641411,0.8337049248530134,0.0949106121537548,0.9393038011472739,0.024385862183792746,0.03895887002807835,True,7.7e-05,30.0,9,27,30.72644986563246
cell line,5637,Dinaciclib,0.1493267854940559,0.9982526408118381,4.346330476177754,0.059274310645660404,0.9902011470515805,0.12074731059893921,0.15492914785230752,True,0.02,10.24,10,30,149.32678549405588
patient-derived primary,patient-derived bladder cancer cells,Dinaciclib,0.13492731827311913,0.9886647143740998,2.4709003503619624,0.13035593930622272,0.8790946535815066,0.10729122466792824,0.17126867747814123,True,0.04,10.24,9,27,134.92731827311914
patient-derived primary,patient-derived bladder cancer cells,Dactolisib,0.0037801758444511936,0.9857255002897021,0.602614238959271,0.13068331684276507,1.0402628914952685,0.002209897013779346,0.006126506550356935,True,0.0001,1.0,9,27,3.7801758444511937
patient-derived primary,patient-derived bladder cancer cells,Daporinad,0.0003844930908053698,0.9992271280767824,3.6343458527652075,0.006601522035928215,0.9358307990820354,0.0003202805410313065,0.0006634426396042195,True,7.7e-05,30.0,9,27,0.3844930908053698
